区間,件数,割合(%),的中率(%),3着以内率(%)
-100~-95,0,0.0,0.0,0.0
-95~-90,0,0.0,0.0,0.0
-90~-85,0,0.0,0.0,0.0
-85~-80,0,0.0,0.0,0.0
-80~-75,0,0.0,0.0,0.0
-75~-70,0,0.0,0.0,0.0
-70~-65,0,0.0,0.0,0.0
-65~-60,2,0.0029991752268126266,50.0,100.0
-60~-55,0,0.0,0.0,0.0
-55~-50,0,0.0,0.0,0.0
-50~-45,0,0.0,0.0,0.0
-45~-40,0,0.0,0.0,0.0
-40~-35,0,0.0,0.0,0.0
-35~-30,0,0.0,0.0,0.0
-30~-25,2,0.0029991752268126266,0.0,0.0
-25~-20,4,0.005998350453625253,0.0,0.0
-20~-15,6,0.008997525680437879,0.0,0.0
-15~-10,46,0.06898103021669041,0.0,0.0
-10~-5,2193,3.288595636200045,0.0,0.6839945280437756
-5~0,59673,89.48489165479494,9.102944380205454,29.190756288438656
0~5,4759,7.136537452200645,27.085522168522797,57.84828745534776
5~10,0,0.0,0.0,0.0
10~15,0,0.0,0.0,0.0
15~20,0,0.0,0.0,0.0
20~25,0,0.0,0.0,0.0
25~30,0,0.0,0.0,0.0
30~35,0,0.0,0.0,0.0
35~40,0,0.0,0.0,0.0
40~45,0,0.0,0.0,0.0
45~50,0,0.0,0.0,0.0
50~55,0,0.0,0.0,0.0
55~60,0,0.0,0.0,0.0
60~65,0,0.0,0.0,0.0
65~70,0,0.0,0.0,0.0
70~75,0,0.0,0.0,0.0
75~80,0,0.0,0.0,0.0
80~85,0,0.0,0.0,0.0
85~90,0,0.0,0.0,0.0
90~95,0,0.0,0.0,0.0
95~100,0,0.0,0.0,0.0
