区間,件数,割合(%),的中率(%),3着以内率(%),単勝回収率(%),複勝回収率(%)
-100~-90,2,0.0029991752268126266,50.0,100.0,,
-90~-80,43,0.06448226737647146,0.0,0.0,,
-80~-70,127,0.19044762690260178,0.0,0.0,,
-70~-60,376,0.5638449426407738,0.0,0.0,,
-60~-50,921,1.3811201919472145,0.0,0.43431053203040176,,
-50~-40,2059,3.087650896003599,0.09713453132588634,1.99125789218067,,
-40~-30,4229,6.341756017095299,0.8039725703476,5.840624261054623,,
-30~-20,6155,9.229961760515858,1.8359057676685622,11.470349309504469,,
-20~-10,9828,14.737947064557247,4.232804232804233,19.037444037444036,,
-10~0,9780,14.665966859113745,7.065439672801636,27.464212678936605,,
0~10,10465,15.693184374297067,10.960344003822264,34.7348303870043,,
10~20,9381,14.067631401364626,14.572007248694169,42.159684468606756,,
20~30,5525,8.28522156406988,18.85972850678733,48.886877828054295,,
30~40,3839,5.756916847866837,21.22948684553269,52.38343318572545,,
40~50,2507,3.7594661468096273,25.608296769046667,57.23972875947347,,
50~60,909,1.3631251405863387,29.7029702970297,61.27612761276128,,
60~70,357,0.5353527779860539,33.33333333333333,59.66386554621849,,
70~80,133,0.19944515258303966,32.33082706766917,66.16541353383458,,
80~90,47,0.07048061783009672,40.42553191489361,76.59574468085107,,
90~100,2,0.0029991752268126266,50.0,50.0,,
